t [s];P [Pa];Q [m^3/s];A [m^2];P_f [Pa];P_b [Pa];Q_f [m^3/s];Q_b [m^3/s]
0.055017301038062294;10423.692602585792;0.00011258809312243373;0.00055132811467629138;504.59639034791832;-225.5252681379821;7.6549317491073581e-05;3.4213097206364234e-05
0.055363321799307967;10435.230095694242;0.0001145312054579641;0.00055181591614948352;517.03599152423737;-226.13318620804273;7.8436455405896512e-05;3.4305320841419538e-05
0.05570934256055364;10447.0617788005;0.00011651056700784232;0.00055231581971418103;529.68143656189318;-226.7163385550478;8.0354820668747541e-05;3.4393787415914347e-05
0.056055363321799313;10459.124071491151;0.00011851739884518816;0.00055282511693894025;542.4655147322328;-227.27801980846118;8.2294217139691951e-05;3.4478996738491288e-05
0.056401384083044986;10471.346468408077;0.00012054200463870951;0.00055334081435145263;555.323305035781;-227.82165339792289;8.4244796039991399e-05;3.4561468157301611e-05
0.056747404844290666;10483.660625122164;0.00012257505495781929;0.00055386001770405902;568.19989697001813;-228.35048428751566;8.6198227223867506e-05;3.4641693946547919e-05
0.05709342560553634;10496.008386166808;0.0001246087119309417;0.00055438026996177596;581.05574202310981;-228.86730260268553;8.8148511021788874e-05;3.4720097379568655e-05
0.057439446366782013;10508.34741290473;0.0001266373991618838;0.00055489978672302242;593.86891792066535;-229.37421902623157;9.0092321735881878e-05;3.4796998655498754e-05
0.057785467128027686;10520.653672378739;0.00012865811115190691;0.00055541755854132484;606.63427526361966;-229.87250472706239;9.2028878181438478e-05;3.4872590615813452e-05
0.058131487889273366;10532.920744020863;0.00013067025955777821;0.00055593331904583542;619.36004893705103;-230.36250126746751;9.3959429623899959e-05;3.4946925076896589e-05
